region_name,division_name,school_id,school_name,allocated_lots_numbers
CAR,Abra,134966,"Agtangao ES","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,134968,"Bangued East Central School","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,134972,"Macarcarmay ES","6, 7, 8, 9, 11, 14"
CAR,Abra,134975,"Sinalang Pilot ES","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,134979,"Bangued West CS","6, 7, 8, 9, 11, 14"
CAR,Abra,134987,"Bangbangcag PS","6, 7, 8, 9, 11, 14"
CAR,Abra,134988,"Bangcagan PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,134989,"Bucay Central School","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,134997,"Lublubnac PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,134998,"Madago Elementary School","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135000,"Manabo Pilot ES","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135001,"Pagala East PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135004,"Quimloong ES","6, 7, 8, 9, 11, 14"
CAR,Abra,135022,"Pacac ES","6, 7, 8, 9, 11, 14"
CAR,Abra,135024,"Tayum Central School","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135032,"Isit Elementary School","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135034,"Liguis ES","6, 7, 8, 9, 11, 14"
CAR,Abra,135042,"Sidongan PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135052,"Binasaran PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135054,"Bulbulala PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135055,"Buneg PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135056,"Caoayan PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135066,"Lagben PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135077,"Paganao E/S","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135082,"Tagodtod ES","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135084,"Taripan Elementary School","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135095,"Caocaoayan PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135096,"Dacuag PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135102,"Lipting PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135111,"Tabacda PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135114,"Tillilo PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135117,"Tukipa PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135134,"Casilagan ES","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135141,"Pidigan CS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135173,"Bilabila ES","6, 7, 8, 9, 11, 14"
CAR,Abra,135186,"Lam-aoan PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135192,"Pikek PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135201,"Baug PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135202,"Baybayatin PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135203,"Belaat Elementary School","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135207,"Colabaoan PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135210,"Kiwas PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135211,"Laba PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135214,"Lukgay PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135216,"Makingag Elementary School","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135219,"Pang-ot Primary School","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,135222,"Sabangan Elementary School","6, 7, 8, 9, 11, 14"
CAR,Abra,218502,"Agat Primary School","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,218504,"Cosili West PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,218505,"Sta. Rosa PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,218506,"Lubong PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,218508,"Gacab PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,218509,"Lat-ey PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,218510,"Pangtud PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,218512,"Poblacion West PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,218513,"Presentar PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,218514,"Taping Primary School","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,218516,"South Balioag PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,218517,"Banay PS","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,218519,"Tattawa Primary School","6, 7, 8, 9, 10, 11, 14"
CAR,Abra,318701,"MARC YSRAEL B. BERNOS MEMORIAL NATIONAL HIGH SCHOOL","6, 7, 13, 14"
CAR,Apayao,135228,"Assat Elementary School","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,135229,"Ayayao ES","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,135232,"Don Roque  ES","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,135240,"Naguilian Norte  ES","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,135246,"Sabangan ES","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,135247,"Salongsong ES","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,135248,"Soda ES","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,135255,"Guedeged ES","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,135289,"Flora CS","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,135296,"Upper Atok ES","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,135300,"Mallag PS","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,135315,"Guimitan PS","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,135317,"Taracay PS","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,135325,"Nagbabalayan ES","6, 7, 8, 9, 11, 14"
CAR,Apayao,135331,"Cagandungan West ES","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,135332,"Calabigan ES","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,135333,"Capagaypayan Primary School","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,135336,"Luna CS","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,135345,"San Jose ES","6, 7, 8, 9, 11, 14"
CAR,Apayao,135346,"Shalom PS","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,135360,"Upper Maton E/S","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,219002,"Nueva Elementary School","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,219004,"Luyon ES","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,219006,"Apaya ES","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,219008,"Culilimtao ES","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,219014,"San Mariano Elementary School","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,219016,"Bubog ES","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,219018,"Mabaguio ES","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,219021,"Bucarot ES","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,219026,"Lt. Balag ES","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,219029,"Calayucay ES","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,220023,"Iyapan PS","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,220024,"Kagawaddan PS","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,220025,"Paco Valley ES","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,220026,"Bayugao Elementary School","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,220027,"Turayok Elementary School","6, 7, 8, 9, 10, 11, 14"
CAR,Apayao,305106,"Apayao National Industrial Agricultural High School","6, 7, 13, 14"
CAR,Apayao,305109,"Sta. Marcela NHS","6, 7, 13, 14"
CAR,Apayao,305123,"Pudtol Vocational High School","6, 7, 13, 14"
CAR,Apayao,318801,"Tumog National Agricultural and trade High School","6, 7, 8, 9, 10, 11, 13, 14"
CAR,Apayao,318804,"tanglagan national high school","6, 7, 8, 9, 10, 11, 13, 14"
